City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Abay,KZ,39.58,scattered clouds,49.6311,72.8539,Guest House on Abaya 144
Abnūb,EG,75.54,few clouds,27.2696,31.1511,Romany Adly Gad
Abu Samrah,SY,66.25,clear sky,35.3029,37.1841,
Acaraú,BR,77.83,scattered clouds,-2.8856,-40.12,castelo pizzaria
Ada,US,76.35,clear sky,43.4166,-116.1262,
Santa Cruz,MA,66.65,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
Agropoli,IT,70.29,few clouds,40.3469,14.9966,B&B Baia di Trentova
Ahipara,NZ,61.75,light rain,-35.1667,173.1667,Ahipara Holiday Park
Airai,TL,59.95,scattered clouds,-8.9266,125.4092,Juvinal Martin
Aklavik,CA,51.17,few clouds,68.2191,-135.0107,Aklavik Inn
Aksarka,RU,35.2,few clouds,66.5606,67.7975,
Aksu,CN,72.86,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
Alamor,EC,62.64,light rain,-4.0181,-80.0197,HOTEL SOL D´ JOZUE
Albury,AU,52.02,scattered clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
Aldan,RU,50.81,broken clouds,58.6031,125.3894,Aldan Guest House
Alta Floresta,BR,76.93,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
Altay,CN,51.84,clear sky,47.8667,88.1167,Jinqiao Hotel
Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
Amapá,BR,72.54,light rain,1.0,-52.0,
Ambilobe,MG,70.2,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Ambon City,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
Amparafaravola,MG,60.67,overcast clouds,-17.5833,48.2167,Aina Franco
Anadyr,RU,46.9,light rain,64.75,177.4833,"Гостиница ""Анадырь"""
Ancud,CL,52.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
Andenes,NO,57.47,overcast clouds,69.3143,16.1194,Hotell Marena
Antsohihy,MG,71.01,scattered clouds,-14.8796,47.9875,Hotel de Ville
Aranda de Duero,ES,56.23,clear sky,41.6704,-3.6892,Hotel Villa De Aranda
Arendonk,BE,58.8,clear sky,51.3227,5.0829,Fletcher Hotel-Restaurant De Kempen
Arman',RU,51.06,broken clouds,59.7,150.1667,
Arraial do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
Arvika,SE,65.1,overcast clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
Asău,RO,56.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
Atambua,ID,71.85,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
Awjilah,LY,74.57,clear sky,29.1081,21.2869,
Esim,GH,79.14,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
Ayagoz,KZ,47.07,scattered clouds,47.9714,80.4392,Gostinitsa Nur
Ayan,RU,41.85,overcast clouds,56.45,138.1667,Gostinitsa
Aykhal,RU,36.91,overcast clouds,66.0,111.5,
Baharly,TM,77.86,clear sky,38.4362,57.4316,
Bahir Dar,ET,67.03,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
Balaipungut,ID,79.21,broken clouds,1.05,101.2833,
Balkanabat,TM,74.48,clear sky,39.5108,54.3671,Nebitchi Hotel
Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
Bandarbeyla,SO,78.87,clear sky,9.4942,50.8122,JABIR HOTEL
Banyo,CM,65.5,overcast clouds,6.75,11.8167,Motel JOMBA
Barabinsk,RU,53.19,clear sky,55.3571,78.357,Gostinichnyy Kompleks Noy
Barrow,US,32.02,mist,71.2906,-156.7887,King Eider Inn
Baruun-Urt,MN,66.76,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
Batken,KG,60.12,broken clouds,39.8333,71.0,
Bayan,CN,61.29,clear sky,46.0833,127.4,Wanhao Inn
Beaufort,MY,76.12,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
Bengkulu,ID,73.58,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Benguela,AO,73.74,few clouds,-12.5763,13.4055,Hotel Praia Morena
Bereda,ES,55.92,broken clouds,43.2686,-7.5406,Pazo de Verdes
Beringovskiy,RU,34.68,light rain,63.05,179.3167,Beringgorski
Berlevåg,NO,39.25,clear sky,70.8578,29.0864,Kvitbrakka
