City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Abay,KZ,2021-06-06 23:05:08,49.6311,72.8539,39.58,48,31,8.19,scattered clouds
Abnūb,EG,2021-06-06 23:05:08,27.2696,31.1511,75.54,36,18,17.94,few clouds
Abu Samrah,SY,2021-06-06 23:05:09,35.3029,37.1841,66.25,43,0,6.78,clear sky
Abū Zabad,SD,2021-06-06 23:09:07,12.35,29.25,82.69,50,81,12.75,broken clouds
Acapulco de Juárez,MX,2021-06-06 23:14:00,16.8634,-99.8901,89.42,70,75,10.74,broken clouds
Acaraú,BR,2021-06-06 23:14:00,-2.8856,-40.12,77.83,86,30,9.37,scattered clouds
Ada,US,2021-06-06 23:14:00,43.4166,-116.1262,76.35,21,1,15.01,clear sky
Adrar,MR,2021-06-06 23:05:10,20.5022,-10.0711,95.04,13,71,18.7,broken clouds
Agadez,NE,2021-06-06 23:14:01,19.75,10.25,90.3,10,100,9.35,overcast clouds
Santa Cruz,MA,2021-06-06 23:11:10,30.4202,-9.5982,66.65,86,49,7.58,scattered clouds
Agropoli,IT,2021-06-06 23:14:01,40.3469,14.9966,70.29,69,15,3.89,few clouds
Ahipara,NZ,2021-06-06 23:14:02,-35.1667,173.1667,61.75,89,100,9.13,moderate rain
‘Āhuimanu,US,2021-06-06 23:11:20,21.4447,-157.8378,83.91,59,90,12.66,overcast clouds
Airai,TL,2021-06-06 23:14:02,-8.9266,125.4092,59.95,72,47,2.55,scattered clouds
Aklavik,CA,2021-06-06 23:00:48,68.2191,-135.0107,51.17,38,12,8.63,few clouds
Aksarka,RU,2021-06-06 23:05:11,66.5606,67.7975,35.2,66,13,2.48,few clouds
Aksu,CN,2021-06-06 23:11:41,41.1231,80.2644,72.86,29,47,5.64,scattered clouds
Alamor,EC,2021-06-06 23:14:03,-4.0181,-80.0197,57.88,96,100,1.61,light rain
Albany,US,2021-06-06 23:10:59,42.6001,-73.9662,85.95,48,46,5.03,scattered clouds
Albury,AU,2021-06-06 23:05:12,-36.0833,146.9167,52.02,96,40,0.0,scattered clouds
Aldan,RU,2021-06-06 23:05:12,58.6031,125.3894,50.81,90,71,10.8,broken clouds
Alofi,NU,2021-06-06 23:11:19,-19.0595,-169.9187,76.89,59,54,10.02,broken clouds
Alta Floresta,BR,2021-06-06 23:05:13,-9.8756,-56.0861,76.93,61,70,3.47,broken clouds
Altay,CN,2021-06-06 23:01:16,47.8667,88.1167,51.84,39,0,6.51,clear sky
Alyangula,AU,2021-06-06 23:14:03,-13.8483,136.4192,76.8,73,49,10.51,scattered clouds
Amapá,BR,2021-06-06 23:05:13,1.0,-52.0,72.54,97,93,2.19,light rain
Amarpur,IN,2021-06-06 23:05:14,25.0333,86.9,90.34,42,7,0.96,clear sky
Ambilobe,MG,2021-06-06 23:14:04,-13.2,49.05,70.2,91,80,3.09,broken clouds
Ambon City,ID,2021-06-06 23:12:07,-3.6954,128.1814,77.14,94,40,9.57,scattered clouds
Amparafaravola,MG,2021-06-06 23:05:14,-17.5833,48.2167,60.67,82,98,8.75,overcast clouds
Anadyr,RU,2021-06-06 23:14:05,64.75,177.4833,46.9,57,75,8.19,light rain
Ancud,CL,2021-06-06 23:14:05,-41.8697,-73.8203,52.23,85,100,16.35,light rain
Andenes,NO,2021-06-06 23:05:15,69.3143,16.1194,57.47,71,90,4.61,overcast clouds
Aného,TG,2021-06-06 23:05:16,6.2333,1.6,80.62,80,22,11.92,few clouds
Antsohihy,MG,2021-06-06 23:05:16,-14.8796,47.9875,71.01,74,50,7.18,scattered clouds
Aranda de Duero,ES,2021-06-06 23:03:11,41.6704,-3.6892,56.23,70,8,4.52,clear sky
Arendonk,BE,2021-06-06 23:05:17,51.3227,5.0829,58.8,78,0,5.53,clear sky
Arlit,NE,2021-06-06 23:01:27,18.7369,7.3853,92.86,13,54,10.47,broken clouds
Arman',RU,2021-06-06 23:14:06,59.7,150.1667,51.06,69,71,4.63,broken clouds
Arraial do Cabo,BR,2021-06-06 23:14:06,-22.9661,-42.0278,74.01,86,100,20.47,overcast clouds
Arvika,SE,2021-06-06 23:05:17,59.6553,12.5852,65.1,96,96,2.33,overcast clouds
Asău,RO,2021-06-06 23:10:44,46.4333,26.4,56.39,78,4,4.85,clear sky
Ascension,US,2021-06-06 23:05:17,30.2169,-90.9001,80.6,90,90,6.91,overcast clouds
Aswān,EG,2021-06-06 23:12:49,24.0934,32.907,83.77,16,3,13.35,clear sky
Atambua,ID,2021-06-06 23:14:07,-9.1061,124.8925,71.85,75,33,4.52,scattered clouds
Atar,MR,2021-06-06 23:14:07,20.5169,-13.0499,95.36,15,8,21.05,clear sky
Atuona,PF,2021-06-06 23:11:00,-9.8,-139.0333,80.19,62,61,6.73,broken clouds
Auki,SB,2021-06-06 23:14:08,-8.7676,160.7034,83.75,70,12,3.09,few clouds
Avarua,CK,2021-06-06 23:14:08,-21.2078,-159.775,77.05,61,75,3.44,broken clouds
Ubari,LY,2021-06-06 23:05:18,26.5921,12.7805,83.62,18,94,11.32,overcast clouds
Awjilah,LY,2021-06-06 23:14:09,29.1081,21.2869,74.57,34,0,8.57,clear sky
Esim,GH,2021-06-06 23:14:09,4.8699,-2.2405,79.14,82,11,8.9,few clouds
Ayagoz,KZ,2021-06-06 23:05:19,47.9714,80.4392,47.07,68,30,9.13,scattered clouds
Ayan,RU,2021-06-06 23:12:27,56.45,138.1667,41.85,89,99,4.25,overcast clouds
Aykhal,RU,2021-06-06 23:05:19,66.0,111.5,36.91,75,93,26.33,overcast clouds
Baharly,TM,2021-06-06 23:03:33,38.4362,57.4316,77.86,44,0,7.54,clear sky
Bahir Dar,ET,2021-06-06 23:01:12,11.5936,37.3908,67.03,67,63,4.79,broken clouds
Bairiki Village,KI,2021-06-06 23:13:24,1.3292,172.9752,86.0,70,75,10.47,broken clouds
Balabac,PH,2021-06-06 23:05:20,7.9868,117.0645,83.28,79,100,7.9,overcast clouds
