City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saskylakh,98,RU,2020-02-16 18:45:21,94,71.92,114.08,2.39,10.89
1,Puerto Carreno,40,CO,2020-02-16 18:48:23,34,6.19,-67.49,96.8,11.41
2,Tiksi,100,RU,2020-02-16 18:48:23,92,71.69,128.87,-2.97,5.26
3,Sangar,100,RU,2020-02-16 18:48:23,94,63.92,127.47,-15.39,8.66
4,Faanui,99,PF,2020-02-16 18:48:23,75,-16.48,-151.75,82.22,16.42
5,Bredasdorp,43,ZA,2020-02-16 18:48:23,56,-34.53,20.04,73.4,20.8
6,Fortuna,90,US,2020-02-16 18:48:24,93,40.6,-124.16,52.0,5.82
7,Ugep,25,NG,2020-02-16 18:48:24,17,5.81,8.08,90.88,4.85
8,Lagoa,100,PT,2020-02-16 18:44:07,65,39.05,-27.98,55.02,19.98
9,Punta Arenas,20,CL,2020-02-16 18:48:24,50,-53.15,-70.92,53.6,25.28
10,Yellowknife,5,CA,2020-02-16 18:46:19,66,62.46,-114.35,-27.0,10.29
11,Pangnirtung,90,CA,2020-02-16 18:48:25,67,66.15,-65.71,-25.6,3.06
12,Cabo San Lucas,90,MX,2020-02-16 18:43:35,49,22.89,-109.91,80.01,4.7
13,Qaanaaq,45,GL,2020-02-16 18:44:49,46,77.48,-69.36,0.41,8.1
14,Kapaa,90,US,2020-02-16 18:48:25,83,22.08,-159.32,72.0,12.75
15,Grindavik,75,IS,2020-02-16 18:48:25,93,63.84,-22.43,37.4,16.11
16,Cape Town,40,ZA,2020-02-16 18:48:03,82,-33.93,18.42,70.0,9.17
17,Sitka,75,US,2020-02-16 18:48:26,87,57.05,-135.33,33.8,3.36
18,Ushuaia,20,AR,2020-02-16 18:48:26,61,-54.8,-68.3,50.0,28.86
19,Kamiiso,100,JP,2020-02-16 18:48:26,94,41.82,140.65,23.11,11.59
20,Henties Bay,89,NA,2020-02-16 18:48:26,90,-22.12,14.28,66.99,3.0
21,Mataura,69,NZ,2020-02-16 18:48:26,96,-46.19,168.86,56.98,2.57
22,Busselton,0,AU,2020-02-16 18:48:27,52,-33.65,115.33,57.99,14.34
23,Korla,100,CN,2020-02-16 18:44:01,84,41.76,86.15,34.0,3.85
24,Sibu,75,MY,2020-02-16 18:48:27,94,2.3,111.82,78.8,2.24
25,Osoyoos,75,CA,2020-02-16 18:48:27,74,49.03,-119.45,35.6,2.8
26,Dikson,100,RU,2020-02-16 18:48:27,93,73.51,80.55,14.14,16.51
27,Ponta Do Sol,40,PT,2020-02-16 18:48:27,77,32.67,-17.1,64.4,8.05
28,Albany,90,US,2020-02-16 18:46:45,55,42.6,-73.97,39.0,5.57
29,Nikolskoye,75,RU,2020-02-16 18:48:28,80,59.7,30.79,37.4,13.42
30,Ancud,40,CL,2020-02-16 18:48:28,63,-41.87,-73.82,60.8,6.93
31,Bilma,18,NE,2020-02-16 18:48:28,14,18.69,12.92,73.22,8.79
32,Luau,24,AO,2020-02-16 18:48:28,91,-10.71,22.22,68.25,1.79
33,Chokurdakh,100,RU,2020-02-16 18:48:29,97,70.63,147.92,-7.89,10.85
34,Hilo,90,US,2020-02-16 18:48:29,77,19.73,-155.09,69.8,6.93
35,Alice Springs,75,AU,2020-02-16 18:43:32,26,-23.7,133.88,80.6,5.82
36,Bolanos De Calatrava,0,ES,2020-02-16 18:46:04,67,38.91,-3.66,59.0,5.99
37,Mahebourg,40,MU,2020-02-16 18:48:29,69,-20.41,57.7,78.8,8.05
38,Hobart,90,AU,2020-02-16 18:46:32,71,-42.88,147.33,50.0,10.29
39,Coihaique,75,CL,2020-02-16 18:48:30,50,-45.58,-72.07,57.2,10.29
40,Rikitea,100,PF,2020-02-16 18:48:30,76,-23.12,-134.97,79.5,21.21
41,Omboue,100,GA,2020-02-16 18:48:30,91,-1.57,9.26,77.94,3.22
42,Provideniya,100,RU,2020-02-16 18:48:30,95,64.38,-173.3,-5.37,14.7
43,Sakakah,20,SA,2020-02-16 18:48:31,72,29.97,40.21,62.6,4.7
44,Bunia,7,CD,2020-02-16 18:48:26,45,1.57,30.25,80.85,5.03
45,Victoria,40,HK,2020-02-16 18:48:31,62,22.29,114.16,53.6,10.29
46,Baturite,80,BR,2020-02-16 18:47:44,77,-4.33,-38.88,81.05,5.75
